Date,Open,Close,High,Low,Upper,Lower
2019-11-06 09:30:00,3075.1,3074.12,3075.91,3073.9,,
2019-11-06 09:31:00,3074.02,3073.59,3074.12,3073.21,,
2019-11-06 09:32:00,3073.42,3071.78,3073.42,3071.74,,
2019-11-06 09:33:00,3071.76,3072.03,3072.07,3071.25,,
2019-11-06 09:34:00,3072.05,3071.2,3072.05,3071.12,,
2019-11-06 09:35:00,3071.19,3071.05,3071.44,3071.05,,
2019-11-06 09:36:00,3070.63,3071.99,3072.04,3070.08,,
2019-11-06 09:37:00,3071.88,3070.79,3071.88,3070.79,,
2019-11-06 09:38:00,3070.91,3071.04,3071.34,3070.78,,
2019-11-06 09:39:00,3071.07,3071.54,3071.78,3070.61,,
2019-11-06 09:40:00,3071.66,3071.59,3072.0,3071.24,,
2019-11-06 09:41:00,3071.64,3071.81,3071.86,3071.25,,
2019-11-06 09:42:00,3071.75,3072.32,3072.32,3071.75,,
2019-11-06 09:43:00,3072.31,3073.28,3073.28,3072.18,,
2019-11-06 09:44:00,3073.32,3072.97,3073.34,3072.72,,
2019-11-06 09:45:00,3073.1,3072.65,3073.28,3072.65,,
2019-11-06 09:46:00,3072.63,3072.18,3072.83,3072.11,,
2019-11-06 09:47:00,3072.13,3072.44,3072.9,3071.97,,
2019-11-06 09:48:00,3072.43,3072.01,3072.5,3071.76,,
2019-11-06 09:49:00,3072.06,3071.93,3072.19,3071.72,,
2019-11-06 09:50:00,3071.96,3071.97,3072.0,3071.64,,
2019-11-06 09:51:00,3072.03,3073.27,3073.39,3072.03,,
2019-11-06 09:52:00,3073.25,3072.68,3073.25,3072.18,,
2019-11-06 09:53:00,3072.65,3072.57,3072.82,3072.39,,
2019-11-06 09:54:00,3072.58,3072.89,3073.11,3072.58,3073.8933959058663,3070.561804094134
2019-11-06 09:55:00,3072.88,3073.86,3073.93,3072.82,3073.836361511401,3070.5980384886
2019-11-06 09:56:00,3073.88,3074.33,3074.39,3073.75,3073.992630461414,3070.5009695385866
2019-11-06 09:57:00,3074.37,3074.48,3074.48,3074.11,3074.302671659017,3070.406928340984
2019-11-06 09:58:00,3074.54,3074.45,3074.86,3074.37,3074.565653610169,3070.3375463898315
2019-11-06 09:59:00,3074.44,3074.68,3074.81,3074.36,3074.8167898172874,3070.3648101827125
2019-11-06 10:00:00,3074.63,3075.32,3075.42,3074.45,3075.144711971073,3070.3784880289277
2019-11-06 10:01:00,3075.36,3075.67,3075.72,3075.14,3075.535491962654,3070.2821080373465
2019-11-06 10:02:00,3075.66,3075.89,3076.02,3075.66,3075.8439445708113,3070.3816554291893
2019-11-06 10:03:00,3075.86,3075.32,3075.9,3075.32,3076.010334535601,3070.557665464401
2019-11-06 10:04:00,3075.29,3075.07,3075.4,3074.98,3076.1408099376285,3070.7095900623744
2019-11-06 10:05:00,3075.1,3075.85,3076.02,3075.1,3076.3654681075727,3070.825731892431
2019-11-06 10:06:00,3075.81,3075.21,3075.83,3075.21,3076.4698639268977,3070.993336073106
2019-11-06 10:07:00,3075.17,3075.13,3075.47,3075.08,3076.5715019095655,3071.116498090438
2019-11-06 10:08:00,3075.15,3074.96,3075.15,3074.71,3076.6634737267004,3071.158926273304
2019-11-06 10:09:00,3074.98,3075.35,3075.35,3074.81,3076.787520158022,3071.225279841983
2019-11-06 10:10:00,3075.38,3075.85,3075.85,3074.94,3076.9497512510325,3071.3190487489737
2019-11-06 10:11:00,3075.85,3075.92,3076.29,3075.85,3077.063880093342,3071.5041199066645
2019-11-06 10:12:00,3075.97,3075.99,3076.02,3075.59,3077.175921210997,3071.6760787890094
2019-11-06 10:13:00,3075.99,3076.39,3076.78,3075.82,3077.2665725193096,3071.935827480697
2019-11-06 10:14:00,3076.39,3076.48,3076.51,3076.19,3077.3061527674317,3072.2602472325752
2019-11-06 10:15:00,3076.55,3075.56,3076.61,3075.51,3077.176449750522,3072.677150249485
2019-11-06 10:16:00,3075.54,3075.94,3075.94,3075.48,3077.2077655870753,3072.8594344129315
2019-11-06 10:17:00,3075.9,3076.19,3076.36,3075.9,3077.1600765342814,3073.187923465726
2019-11-06 10:18:00,3076.23,3075.77,3076.23,3075.63,3076.976902982271,3073.6270970177366
2019-11-06 10:19:00,3075.77,3075.5,3075.86,3075.46,3076.746846194376,3074.065953805631
2019-11-06 10:20:00,3075.48,3075.51,3075.69,3075.34,3076.647932219897,3074.2968677801096
2019-11-06 10:21:00,3075.55,3075.77,3075.99,3075.55,3076.609490620624,3074.4505093793828
2019-11-06 10:22:00,3075.85,3075.21,3076.08,3075.14,3076.5567289469564,3074.561671053051
2019-11-06 10:23:00,3075.2,3075.41,3075.41,3075.16,3076.4850547875894,3074.710145212419
2019-11-06 10:24:00,3075.38,3076.13,3076.13,3075.38,3076.48050565118,3074.830694348829
2019-11-06 10:25:00,3076.18,3075.87,3076.29,3075.82,3076.494510439816,3074.860689560192
2019-11-06 10:26:00,3075.87,3075.47,3075.87,3075.38,3076.4907268679976,3074.848473132011
2019-11-06 10:27:00,3075.47,3074.55,3075.48,3074.54,3076.545031754041,3074.6869682459683
2019-11-06 10:28:00,3074.55,3073.94,3074.55,3073.75,3076.7027124309757,3074.418887569033
2019-11-06 10:29:00,3073.96,3073.93,3074.16,3073.83,3076.8184282992693,3074.2119717007376
2019-11-06 10:30:00,3073.3,3073.18,3073.49,3072.75,3077.0024690072946,3073.8143309927113
2019-11-06 10:31:00,3073.19,3073.61,3073.72,3072.9,3077.092676103295,3073.596123896711
2019-11-06 10:32:00,3073.59,3073.21,3073.8,3073.21,3077.212724503304,3073.322475496702
2019-11-06 10:33:00,3073.25,3073.45,3073.74,3073.25,3077.2816036894214,3073.1327963105837
2019-11-06 10:34:00,3073.46,3073.22,3073.55,3073.22,3077.341834828695,3072.90216517131
2019-11-06 10:35:00,3073.22,3072.81,3073.22,3072.63,3077.3812855495426,3072.619514450462
2019-11-06 10:36:00,3072.85,3072.95,3073.05,3072.67,3077.3654590942365,3072.3977409057675
2019-11-06 10:37:00,3072.98,3073.4,3073.72,3072.98,3077.285176366623,3072.27082363338
2019-11-06 10:38:00,3073.38,3073.55,3073.71,3073.38,3077.124156627532,3072.2046433724718
2019-11-06 10:39:00,3073.51,3073.45,3073.61,3073.37,3076.927647664909,3072.158752335095
2019-11-06 10:40:00,3073.52,3073.68,3073.71,3073.5,3076.8373670040796,3072.0986329959237
2019-11-06 10:41:00,3073.77,3073.43,3073.93,3073.43,3076.6893111505715,3072.0458888494313
2019-11-06 10:42:00,3073.44,3074.86,3074.86,3073.42,3076.520173333781,3072.1086266662214
2019-11-06 10:43:00,3074.86,3074.82,3075.06,3074.75,3076.4092141034835,3072.1435858965187
2019-11-06 10:44:00,3074.81,3074.55,3074.84,3074.17,3076.3134476299806,3072.1633523700225
2019-11-06 10:45:00,3074.58,3074.59,3074.82,3074.57,3076.2143814917063,3072.188818508297
2019-11-06 10:46:00,3074.6,3073.95,3074.69,3073.8,3076.0339974525896,3072.223602547413
2019-11-06 10:47:00,3074.03,3073.71,3074.47,3073.67,3075.9259960944805,3072.211603905522
2019-11-06 10:48:00,3073.81,3074.32,3074.33,3073.78,3075.800579020572,3072.2498209794308
2019-11-06 10:49:00,3074.33,3074.17,3074.38,3074.12,3075.4932445242835,3072.4003554757187
2019-11-06 10:50:00,3074.19,3073.48,3074.19,3073.44,3075.182844597238,3072.519555402764
2019-11-06 10:51:00,3073.49,3073.33,3073.71,3073.3,3074.928041109628,3072.6031588903743
2019-11-06 10:52:00,3073.37,3073.71,3073.87,3073.3,3074.8475865422965,3072.616413457706
2019-11-06 10:53:00,3073.71,3073.21,3073.71,3073.21,3074.8338101679565,3072.5717898320463
2019-11-06 10:54:00,3073.18,3072.96,3073.33,3072.96,3074.8285886255194,3072.4994113744847
2019-11-06 10:55:00,3072.96,3072.75,3073.01,3072.61,3074.853126655605,3072.4404733443994
2019-11-06 10:56:00,3072.73,3073.21,3073.31,3072.69,3074.849705520002,3072.4118944800034
2019-11-06 10:57:00,3073.22,3073.0,3073.34,3072.88,3074.856191986799,3072.388608013205
2019-11-06 10:58:00,3072.99,3072.71,3072.99,3072.49,3074.878250893665,3072.30734910634
2019-11-06 10:59:00,3072.73,3072.59,3072.87,3072.38,3074.907068551339,3072.2281314486663
