Date,Open,Close,High,Low,Volume
2019-11-05 09:30:00,3080.8,3080.49,3081.47,3080.3,2209795
2019-11-05 09:31:00,3080.33,3079.36,3080.33,3079.15,1739410
2019-11-05 09:32:00,3079.43,3079.68,3080.46,3079.43,896995
2019-11-05 09:33:00,3079.73,3079.15,3080.22,3079.12,479401
2019-11-05 09:34:00,3079.2,3079.62,3080.03,3079.07,2528485
2019-11-05 09:35:00,3079.45,3079.89,3080.62,3079.45,1739864
2019-11-05 09:36:00,3079.75,3078.45,3079.75,3078.45,797347
2019-11-05 09:37:00,3078.5,3078.17,3078.58,3078.05,1716003
2019-11-05 09:38:00,3078.24,3077.77,3078.38,3077.66,2667091
2019-11-05 09:39:00,3077.74,3077.97,3078.36,3077.74,1452630
2019-11-05 09:40:00,3077.95,3078.57,3078.64,3077.84,1375690
2019-11-05 09:41:00,3078.61,3078.66,3078.76,3078.31,875781
2019-11-05 09:42:00,3078.63,3078.68,3078.92,3078.31,863062
2019-11-05 09:43:00,3078.71,3078.59,3078.99,3078.54,477106
2019-11-05 09:44:00,3078.6,3079.07,3079.07,3078.46,37964
2019-11-05 09:45:00,3079.06,3077.8,3079.21,3077.78,1477182
2019-11-05 09:46:00,3077.94,3078.13,3078.35,3077.86,1596750
2019-11-05 09:47:00,3078.12,3077.79,3078.34,3077.59,1697387
2019-11-05 09:48:00,3077.8,3078.32,3078.63,3077.8,1932203
2019-11-05 09:49:00,3078.28,3079.07,3079.1,3078.22,1015808
2019-11-05 09:50:00,3079.02,3079.41,3079.41,3078.68,2830362
2019-11-05 09:51:00,3079.44,3079.26,3079.65,3079.18,1468451
2019-11-05 09:52:00,3079.21,3078.68,3079.3,3078.68,2197513
2019-11-05 09:53:00,3078.62,3078.89,3078.98,3078.35,1035216
2019-11-05 09:54:00,3078.91,3079.18,3079.26,3078.91,1867127
2019-11-05 09:55:00,3079.23,3079.56,3079.56,3079.12,524808
2019-11-05 09:56:00,3079.59,3079.52,3080.05,3079.46,2164686
2019-11-05 09:57:00,3079.53,3079.18,3079.65,3079.1,2080194
2019-11-05 09:58:00,3079.2,3079.03,3079.3,3078.91,2358580
2019-11-05 09:59:00,3079.01,3078.53,3079.05,3078.4,2040514
2019-11-05 10:00:00,3080.94,3082.2,3082.24,3080.12,1888876
2019-11-05 10:01:00,3082.26,3083.89,3083.9,3082.09,948315
2019-11-05 10:02:00,3083.89,3083.15,3083.89,3082.81,1231863
2019-11-05 10:03:00,3083.17,3083.0,3083.95,3083.0,1711146
2019-11-05 10:04:00,3082.95,3082.3,3082.97,3082.28,2088200
2019-11-05 10:05:00,3082.36,3081.43,3082.4,3081.35,1801948
2019-11-05 10:06:00,3081.42,3080.72,3081.42,3080.49,1116965
2019-11-05 10:07:00,3080.77,3079.75,3080.9,3079.75,1504587
2019-11-05 10:08:00,3079.43,3079.14,3079.68,3079.14,2836773
2019-11-05 10:09:00,3078.97,3077.55,3078.97,3076.71,787001
2019-11-05 10:10:00,3077.48,3076.66,3077.51,3076.39,1331144
2019-11-05 10:11:00,3076.63,3074.37,3076.89,3074.33,858858
2019-11-05 10:12:00,3074.41,3073.61,3074.5,3073.49,1038968
2019-11-05 10:13:00,3073.77,3075.44,3075.44,3073.77,1324369
2019-11-05 10:14:00,3075.41,3075.57,3075.83,3075.27,2928546
2019-11-05 10:15:00,3075.53,3074.18,3075.54,3074.06,1259581
2019-11-05 10:16:00,3074.24,3074.23,3074.62,3074.2,581211
2019-11-05 10:17:00,3074.17,3075.69,3075.69,3074.07,2916904
2019-11-05 10:18:00,3075.7,3076.06,3076.58,3075.69,1842409
2019-11-05 10:19:00,3076.0,3075.84,3076.11,3075.54,161189
2019-11-05 10:20:00,3075.85,3076.31,3076.31,3075.67,1804639
