Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,147.100006,147.610001,146.059998,146.210007,118.624741,108126800
2008-01-02,146.529999,146.990005,143.880005,144.929993,117.586205,204935600
2008-01-03,144.910004,145.490005,144.070007,144.860001,117.529449,125133300
2008-01-04,143.339996,143.440002,140.910004,141.309998,114.649185,232330900
2008-01-07,141.809998,142.229996,140.100006,141.190002,114.551826,234991000
2008-01-08,142.080002,142.899994,138.440002,138.910004,112.702011,326365700
2008-01-09,139.089996,140.789993,137.699997,140.369995,113.886528,301824900
2008-01-10,139.679993,142.800003,139.369995,141.289993,114.632973,335701200
2008-01-11,140.779999,141.899994,139.000000,140.149994,113.708046,267076600
2008-01-14,141.160004,141.860001,140.399994,141.279999,114.624893,170365500
2008-01-15,139.789993,141.490005,137.899994,138.169998,112.101616,239940100
2008-01-16,137.360001,139.119995,136.279999,136.979996,111.136124,378802600
2008-01-17,137.809998,137.880005,132.929993,133.429993,108.255920,397892600
2008-01-18,134.740005,135.020004,131.100006,132.059998,107.144386,348561500
2008-01-22,127.209999,132.429993,126.000000,130.720001,106.057205,435923700
2008-01-23,127.089996,134.190002,126.839996,133.860001,108.604774,511913000
2008-01-24,134.479996,135.460007,133.309998,134.990005,109.521591,259949300
2008-01-25,136.509995,136.759995,132.600006,133.039993,107.939507,269603900
2008-01-28,133.259995,135.520004,132.059998,135.240005,109.724403,217934600
2008-01-29,136.100006,136.449997,134.880005,135.910004,110.268005,168968300
2008-01-30,135.580002,138.539993,134.600006,134.910004,109.456680,334939200
2008-01-31,133.399994,138.539993,133.199997,137.369995,111.452545,343680800
2008-02-01,137.940002,139.610001,137.520004,139.580002,113.245613,206843600
2008-02-04,139.210007,139.300003,137.639999,137.820007,111.817680,124694300
2008-02-05,135.940002,136.250000,133.669998,134.130005,108.823853,286882500
2008-02-06,134.580002,135.250000,132.410004,133.050003,107.947594,250792900
2008-02-07,131.800003,134.789993,131.729996,133.929993,108.661568,297368100
2008-02-08,133.089996,134.220001,132.100006,133.070007,107.963860,221643500
2008-02-11,133.100006,134.229996,132.039993,133.750000,108.515549,188576300
2008-02-12,134.910004,136.309998,133.979996,134.990005,109.521591,256654400
2008-02-13,136.009995,137.059998,135.139999,136.369995,110.641220,181967800
2008-02-14,136.949997,137.000000,134.789993,135.169998,109.667633,215207200
2008-02-15,134.500000,135.220001,133.910004,135.139999,109.643280,154110300
2008-02-19,136.720001,136.889999,134.610001,135.520004,109.951561,145190000
2008-02-20,133.990005,136.550003,133.759995,135.919998,110.276123,220085700
2008-02-21,136.660004,137.009995,134.070007,134.789993,109.359291,201051200
2008-02-22,134.970001,135.850006,132.860001,135.619995,110.032730,205491000
2008-02-25,135.539993,137.649994,134.779999,137.330002,111.420090,190107000
2008-02-26,136.750000,138.949997,136.500000,138.360001,112.255775,212420700
2008-02-27,137.559998,139.139999,137.410004,138.220001,112.142166,168395800
2008-02-28,137.240005,137.960007,136.550003,136.869995,111.046875,170831100
2008-02-29,135.600006,135.679993,132.779999,133.820007,108.572357,252715200
2008-03-03,133.139999,133.809998,132.240005,133.500000,108.312706,189483500
2008-03-04,132.229996,133.399994,130.990005,132.990005,107.898911,282513100
2008-03-05,133.419998,134.770004,132.339996,133.830002,108.580437,270681400
2008-03-06,132.979996,133.220001,130.550003,131.059998,106.333061,247911700
2008-03-07,129.770004,131.740005,128.580002,129.710007,105.237755,326434600
2008-03-10,129.839996,129.929993,127.589996,128.000000,103.850365,235683600
2008-03-11,130.720001,132.720001,128.949997,132.600006,107.582512,341440600
2008-03-12,132.740005,133.770004,131.160004,131.360001,106.576462,229161100
2008-03-13,129.610001,132.639999,128.600006,131.649994,106.811737,351504200
2008-03-14,132.770004,132.809998,127.779999,129.610001,105.156631,484687800
2008-03-17,126.570000,129.259995,126.070000,128.300003,104.093781,405311100
2008-03-18,130.619995,133.690002,129.979996,133.630005,108.418175,334416600
2008-03-19,134.139999,134.649994,130.039993,130.320007,105.732674,345971600
2008-03-20,130.050003,132.910004,129.259995,132.080002,107.691132,245320700
2008-03-24,133.309998,135.809998,133.240005,134.720001,109.843643,208977300
2008-03-25,134.860001,135.550003,133.770004,134.850006,109.949646,192947200
2008-03-26,134.460007,135.089996,133.110001,133.199997,108.604309,196934300
2008-03-27,134.199997,134.440002,132.360001,132.779999,108.261848,225153200
2008-03-28,132.990005,133.360001,131.059998,131.509995,107.226402,180896100
2008-03-31,131.289993,132.729996,131.089996,131.970001,107.601463,166692100
2008-04-01,133.610001,136.839996,133.509995,136.610001,111.384636,254547300
2008-04-02,137.050003,137.669998,135.979996,136.699997,111.458008,210910800
2008-04-03,135.960007,137.440002,135.710007,137.039993,111.735268,175884800
2008-04-04,137.119995,137.960007,136.119995,136.889999,111.612961,204446800
2008-04-07,137.869995,138.570007,136.740005,136.960007,111.670052,154245500
2008-04-08,136.190002,136.919998,135.949997,136.820007,111.555870,148937300
2008-04-09,136.610001,136.800003,134.889999,135.830002,110.748672,195610600
2008-04-10,135.419998,136.669998,134.899994,136.020004,110.903618,192967800
2008-04-11,134.490005,135.119995,133.009995,133.380005,108.751122,222973300
2008-04-14,133.190002,133.539993,132.550003,132.929993,108.384163,160522000
2008-04-15,133.580002,133.690002,132.330002,133.240005,108.636948,172389200
2008-04-16,134.539993,136.910004,134.520004,136.850006,111.580330,189268900
2008-04-17,136.020004,137.250000,135.660004,137.050003,111.743416,179665700
2008-04-18,138.940002,139.559998,138.259995,138.479996,112.909378,218530600
2008-04-21,138.229996,138.979996,137.850006,138.550003,112.966408,118587400
2008-04-22,138.190002,138.309998,136.899994,137.940002,112.469070,162166000
2008-04-23,138.089996,138.779999,137.119995,137.720001,112.289711,193309000
2008-04-24,138.080002,139.740005,137.039993,138.320007,112.778908,229381300
2008-04-25,139.399994,139.889999,137.910004,139.600006,113.822563,190788100
2008-04-28,139.880005,140.250000,139.380005,139.630005,113.847023,105610200
2008-04-29,139.389999,139.729996,138.610001,139.080002,113.398605,125514100
2008-04-30,139.289993,140.589996,138.259995,138.259995,112.729973,208395900
2008-05-01,138.380005,141.119995,138.270004,141.119995,115.061890,187279500
2008-05-02,142.339996,142.369995,140.559998,141.509995,115.379852,181585500
2008-05-05,141.050003,141.610001,140.410004,140.830002,114.825409,118504500
2008-05-06,140.020004,142.199997,139.690002,142.050003,115.820145,179339800
2008-05-07,141.889999,142.039993,139.130005,139.520004,113.757355,199267300
2008-05-08,139.740005,140.320007,138.979996,139.160004,113.463745,178321200
2008-05-09,138.600006,139.389999,138.449997,138.899994,113.251785,152588200
2008-05-12,139.250000,140.559998,138.729996,140.460007,114.523758,147865900
2008-05-13,140.800003,140.889999,139.729996,140.479996,114.540047,159132200
2008-05-14,141.070007,142.199997,140.460007,140.770004,114.776505,181910800
2008-05-15,141.039993,142.630005,140.830002,142.529999,116.211525,166927000
2008-05-16,142.860001,142.869995,141.610001,142.660004,116.317551,204236800
2008-05-19,142.809998,144.300003,142.300003,143.050003,116.635452,165664400
2008-05-20,142.270004,142.339996,141.000000,141.889999,115.689674,178552100
2008-05-21,141.809998,142.119995,139.000000,139.490005,113.732880,252724800
2008-05-22,139.429993,140.169998,139.000000,139.509995,113.749168,170820400
2008-05-23,139.050003,139.660004,137.520004,137.639999,112.224480,181376400
2008-05-27,137.800003,139.000000,137.529999,138.660004,113.056122,168322900
2008-05-28,139.169998,140.000000,138.000000,139.300003,113.577934,181288100
2008-05-29,139.130005,140.929993,139.080002,140.000000,114.148674,173927200
2008-05-30,140.470001,140.740005,139.940002,140.350006,114.434074,117362000
2008-06-02,139.830002,139.860001,138.000000,138.899994,113.251785,181069900
2008-06-03,139.300003,139.619995,137.229996,138.089996,112.591370,271965700
2008-06-04,137.699997,139.160004,137.460007,138.020004,112.534264,246637700
2008-06-05,138.580002,140.889999,138.320007,140.779999,114.784637,237867100
2008-06-06,139.550003,139.800003,136.220001,136.289993,111.123734,384276300
2008-06-09,136.860001,137.500000,135.410004,136.619995,111.392830,228263900
2008-06-10,135.669998,137.100006,135.350006,135.940002,110.838364,260234900
2008-06-11,135.970001,136.259995,133.929993,133.940002,109.207687,283890100
2008-06-12,134.600006,135.869995,133.520004,134.449997,109.623512,252791800
2008-06-13,135.169998,136.520004,134.419998,136.149994,111.009583,244726900
2008-06-16,135.550003,136.929993,135.460007,136.229996,111.074799,185832500
2008-06-17,137.070007,137.119995,135.369995,135.570007,110.536697,191707700
2008-06-18,134.690002,135.520004,133.710007,134.250000,109.460434,265893000
2008-06-19,134.149994,135.240005,133.500000,134.419998,109.599052,304204900
2008-06-20,132.839996,133.089996,131.220001,131.580002,107.820091,289275700
2008-06-23,132.089996,132.229996,131.320007,131.449997,107.713562,165096400
2008-06-24,131.050003,132.440002,130.190002,131.190002,107.500488,267300600
2008-06-25,131.720001,133.399994,131.240005,131.809998,108.008522,287853900
